train_acc, val_acc, train_loss, val_loss
0.799, 0.710, 0.508, 1.219
0.884, 0.686, 0.310, 1.175
0.902, 0.746, 0.272, 0.664
0.924, 0.801, 0.220, 0.615
0.926, 0.826, 0.203, 0.511
0.912, 0.828, 0.250, 0.468
0.921, 0.815, 0.241, 0.502
0.934, 0.827, 0.188, 0.560
0.942, 0.841, 0.171, 0.469
0.943, 0.792, 0.171, 0.693
0.945, 0.705, 0.174, 0.967
